Participant_id,Technique,Gesture_set,height,distance,Checkpoint_time,Object_view_time,mistake_count,personalization_type
10,WRIST_ARM,GS2,0,7,2.543942,0.4589723,0,W1
10,WRIST_ARM,GS2,0,7,2.605049,0.6280553,0,W1
10,WRIST_ARM,GS2,5,7,2.980599,0.3898758,0,W1
10,WRIST_ARM,GS2,0,7,3.449042,1.098548,0,W1
10,WRIST_ARM,GS2,2.5,10.5,5.837953,0.7961525,0,W1
10,WRIST_ARM,GS2,0,10.5,3.088795,0.4016603,0,W1
10,WRIST_ARM,GS2,2.5,7,2.243764,0.556198,0,W1
10,WRIST_ARM,GS2,0,3.5,4.354934,1.862812,1,W1
10,WRIST_ARM,GS2,5,10.5,4.68014,0.9891821,0,W1
10,WRIST_ARM,GS2,0,7,2.865801,1.19458,0,W1
10,WRIST_ARM,GS2,2.5,7,3.079261,0.4870511,0,W1
10,WRIST_ARM,GS2,0,3.5,2.433809,1.180771,0,W1
10,WRIST_ARM,GS2,0,10.5,2.95462,0.6253568,0,W1
10,WRIST_ARM,GS2,5,3.5,4.232205,1.821577,0,W1
10,WRIST_ARM,GS2,0,10.5,7.738981,1.042017,0,W1
10,WRIST_ARM,GS2,2.5,3.5,2.589414,0.9316067,0,W1
10,WRIST_ARM,GS2,0,3.5,2.187164,1.239617,0,W1
10,WRIST_ARM,GS2,2.5,3.5,2.783719,0.8611844,0,W1
10,WRIST_ARM,GS2,0,7,2.71521,0.5557615,0,W1
10,WRIST_ARM,GS2,0,3.5,2.086064,0.5277348,0,W1
10,WRIST_ARM,GS2,5,7,2.99677,0.8502348,0,W1
10,WRIST_ARM,GS2,0,10.5,5.259947,0.9707763,0,W1
10,WRIST_ARM,GS2,5,7,3.27375,0.6955652,0,W1
10,WRIST_ARM,GS2,0,3.5,4.718096,1.640429,1,W1
10,WRIST_ARM,GS2,0,3.5,2.047924,0.4871986,0,W1
10,WRIST_ARM,GS2,2.5,7,2.923092,0.7921824,0,W1
10,WRIST_ARM,GS2,0,10.5,3.259498,0.5701255,0,W1
10,WRIST_ARM,GS2,0,10.5,4.174321,0.6273804,1,W1
10,WRIST_ARM,GS2,0,7,2.257761,0.6413308,0,W1
10,WRIST_ARM,GS2,2.5,10.5,4.287273,0.8192906,0,W1
10,WRIST_ARM,GS2,0,3.5,2.576579,1.449211,0,W1
10,WRIST_ARM,GS2,2.5,3.5,2.713765,0.9863483,0,W1
10,WRIST_ARM,GS2,0,3.5,2.367227,1.239457,0,W1
10,WRIST_ARM,GS2,0,10.5,3.06253,0.8893731,0,W1
10,WRIST_ARM,GS2,0,10.5,3.300426,0.7087972,0,W1
10,WRIST_ARM,GS2,5,10.5,4.357161,0.8330922,0,W1
10,WRIST_ARM,GS2,0,3.5,2.071959,0.8615021,2,W3
10,WRIST_ARM,GS2,2.5,3.5,2.135398,0.6562979,0,W3
10,WRIST_ARM,GS2,0,10.5,2.667912,0.7652755,0,W3
10,WRIST_ARM,GS2,0,10.5,2.329635,0.6424729,0,W3
10,WRIST_ARM,GS2,5,7,4.575677,2.338266,0,W3
10,WRIST_ARM,GS2,0,7,3.540815,1.090354,0,W3
10,WRIST_ARM,GS2,5,10.5,3.698992,0.56973,0,W3
10,WRIST_ARM,GS2,0,10.5,3.398905,1.134073,0,W3
10,WRIST_ARM,GS2,5,10.5,3.661414,0.5699514,0,W3
10,WRIST_ARM,GS2,0,3.5,2.797494,1.57204,0,W3
10,WRIST_ARM,GS2,0,3.5,2.13195,1.087336,0,W3
10,WRIST_ARM,GS2,5,3.5,3.159457,1.059767,0,W3
10,WRIST_ARM,GS2,0,7,2.771384,1.22458,0,W3
10,WRIST_ARM,GS2,0,3.5,2.436228,0.8059897,0,W3
10,WRIST_ARM,GS2,0,3.5,2.533761,0.5418422,0,W3
10,WRIST_ARM,GS2,0,10.5,3.340289,0.9036996,0,W3
10,WRIST_ARM,GS2,2.5,3.5,2.730531,0.5422773,0,W3
