,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,2.044091,0.9160372,5.611306,0,0.4376342,0.4376342,3,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,1.336352,0.2250335,6.947659,0,0.4279839,1.909448,4,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,1.253257,0.2008778,8.200915,0,0.4380181,1.805422,5,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,5,5.5,1.391398,0.1805922,9.592311,0,0.495389,13.13352,6,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,2.019695,0.6748587,11.612,0,0.4950432,0.4950432,7,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,2.5,11,2.296476,0.4636364,13.90848,0,0.4927301,5.65005,8,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,2.018901,0.4647969,15.92738,0,0.4090467,1.660496,9,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,4.635511,0.9717442,20.56289,1,0.4953763,1.184639,10,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,1.726969,0.1954112,22.28985,0,0.4920627,1.822364,11,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,2.255388,1.09147,24.54525,0,0.4377946,2.121727,12,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,2.5,11,2.714604,0.5908647,27.25985,0,0.481894,6.201871,13,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,2.366993,1.057114,29.62684,0,0.4980601,1.648591,14,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,2.5,5.5,1.462237,0.3338055,31.08908,0,0.4423179,9.690462,15,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,1.753336,0.7152735,32.84241,0,0.4663604,1.283066,16,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,1.490131,0.6782568,34.33255,0,0.456854,2.608487,17,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,5,11,2.406906,0.5850356,36.73947,0,0.5019044,8.984645,18,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,2.521622,0.5864621,39.2611,0,0.4767695,0.4767695,19,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,5,11,2.463968,0.9639604,41.72506,0,0.5014498,0.5014498,20,,,,,,,,,,
