,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time_o,checkpoint_time,object_view_time,,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
,2,WRIST_ARM,GS2,G,0,10.5,2.787152,2.787152,0.5835505,,0,0.3564602,2.788575,9.985033,0.005618572,353.2336,W3,C0,3
,2,WRIST_ARM,GS2,G,0,7.5,2.600599,2.600599,0.6099165,,2,0.2709821,3.565948,6.914363,-0.0681262,2.332568,W3,C0,4
,2,WRIST_ARM,GS2,G,0,10.5,2.828996,2.828996,0.6123046,,1,0.2709821,3.565948,0.4589714,0.01377583,349.4601,W3,C0,5
,2,WRIST_ARM,GS2,G,5,10.5,3.104111,3.104111,0.6796298,,1,0.2709821,3.565948,0.4633398,0.2288332,327.4336,W3,C0,6
,2,WRIST_ARM,GS2,G,0,10.5,4.871246,4.871246,0.8329205,,1,0.2693562,0.2693562,10.08376,4.858912,1.889399,W3,C0,7
,2,WRIST_ARM,GS2,G,5,10.5,2.744025,2.744025,0.5422609,,0,0.2861595,0.2861595,10.00879,-4.800689,325.7166,W3,C0,8
,2,WRIST_ARM,GS2,G,0,10.5,3.379645,3.379645,0.624307,,0,0.2907295,0.2907295,10.09633,4.859078,3.730402,W3,C0,9
,2,WRIST_ARM,GS2,G,5,10.5,2.98291,2.98291,0.836974,,0,0.3843619,12.31681,0.4987646,0.2343144,326.7721,W3,C0,10
,2,WRIST_ARM,GS2,G,0,7.5,2.379321,2.379321,0.8602769,,0,0.3246759,2.122578,7.188252,4.796824,10.70185,W3,C0,11
,2,WRIST_ARM,GS2,G,5,7.5,2.129814,2.129814,0.7234572,,0,0.2920567,14.88261,7.040065,-4.827908,327.2295,W3,C0,12
,2,WRIST_ARM,GS2,G,0,7.5,2.911153,2.911153,0.9034311,,0,0.2920567,14.88261,0.2877272,-0.1576208,2.846917,W3,C0,13
,2,WRIST_ARM,GS2,G,5,7.5,2.379966,2.379966,0.4992563,,0,0.3536713,14.77742,0.4177112,0.1420813,326.7653,W3,C0,14
,2,WRIST_ARM,GS2,G,0,7.5,2.979846,2.979846,0.5693479,,0,0.3377813,2.244683,0.3028343,-0.139591,6.353883,W3,C0,15
,2,WRIST_ARM,GS2,G,5,7.5,3.870638,3.870638,0.9879848,,0,0.3377813,2.244683,7.00833,-4.753911,322.5897,W3,C0,16
,2,WRIST_ARM,GS2,G,0,7.5,2.798159,2.798159,1.042182,,0,0.3331103,2.135308,7.170557,4.884501,359.2754,W3,C0,17
,2,WRIST_ARM,GS2,G,0,7.5,2.881567,2.881567,1.183463,,0,0.3331103,2.135308,6.983151,-0.04058361,352.9697,W3,C0,18
,2,WRIST_ARM,GS2,G,0,10.5,4.5822,4.5822,0.5709923,,1,0.3331103,2.135308,10.09113,0.01373649,340.0278,W3,C0,19
,2,WRIST_ARM,GS2,G,0,10.5,2.838189,2.838189,0.6100087,,1,0.2199531,3.13582,9.998835,0.000176311,349.1422,W3,C0,20
,2,WRIST_ARM,GS2,G,0,10.5,2.060999,2.060999,0.4724877,,0,0.2199531,3.13582,10.0204,-0.000446916,351.5824,W3,C0,21
,2,WRIST_ARM,GS2,G,5,10.5,2.785737,2.785737,0.4869542,,0,0.2199531,3.13582,9.966358,-4.793187,330.0795,W3,C0,22
,2,WRIST_ARM,GS2,G,0,7.5,2.380289,2.380289,1.266686,,0,0.2199531,3.13582,7.155366,4.808602,11.93164,W3,C0,23
,2,WRIST_ARM,GS2,G,5,7.5,5.776205,5.776205,0.5681499,,3,0.2853655,14.96238,7.007713,-4.798763,326.696,W3,C0,24
,2,WRIST_ARM,GS2,G,0,10.5,3.425017,3.425017,0.6105911,,0,0.2757168,2.362706,0.348274,-0.1365368,353.0673,W3,C0,25
,2,WRIST_ARM,GS2,G,5,10.5,3.035324,3.035324,0.5419013,,1,0.321854,12.41718,10.02445,-4.787104,322.9468,W3,C0,26
,2,WRIST_ARM,GS2,G,0,10.5,2.605255,2.605255,0.9733617,,0,0.321854,12.41718,0.3552579,-0.1631161,1.312068,W3,C0,27
,2,WRIST_ARM,GS2,G,0,7.5,2.978149,2.978149,1.167331,,0,0.3144518,3.857556,0.5399358,-0.03121841,0.4070725,W3,C0,28
